entity 1,relation,entity 2,sentence
mañjas,son of,Sagara,Asamañjas1 At the request of Yudhiṣṭhira Lomaśa related Asa mañjas the son of Sagara and Śaibyā used to seize the children of the citizens by the throat and throw them into the river. At the request of the citizens Sagara caused his ministers  to drive Asamañjas immediately from the  city .
Śvetaketu,son of,Uddālaka,Aṣṭāvakrīya  A. atraiva vivāyatra Bandinā etc ff. Uddālaka gave his own daughter Sujātā in marriage together with sacred learning to his disciple the brahman Kahoda who had served him long. The embryo in her womb had become versed in the Śāstras and the Vedas with the aṅgas and blamed Kahoda who had been reading the whole night. The great ṛṣi Kahoda cursed him to become crooked on eight parts of his body wherefore he when born was called Aṣṭāvakra. In order to procure wealth for Sujātā Kahoda went to king Janaka where he was defeated in a controversy with the sūta  Bandin and was immersed into water. Uddālaka prevailed upon Sujātā to keep it a secret from Aṣṭāvakra who regarded Uddālaka as his father and Śvetaketu the son of Uddālaka who was of the same age with himself as his brother until in his th year Śvetaketu in anger happened to disclose the matter to him. He and Śvetaketu then went to the sacrifice of Janaka and on being driven from the entrance Aṣṭāvakra met the king and in the course of a conversation with him and the rkeeper he compared Janaka to Yayāti and said that he had heard that Bandin caused those whom he had vanquished in disputation to be drowned in the sea by men sent by Janaka and he declared that he had come to maintain the unity with Bráhman  and to defeat Bandin then he answered several enigmatical questions  and was admitted . Here they disputed in such a way that Bandin enumerated things of which there is only Aṣṭāvakra groups of Ba of A of etc Ba of A of Ba of A of Ba of A of Ba of A of . As Bandin had said the first half śloka with he stopped and Aṣṭāvakra fulfilled the śloka. Bandin was then deemed to be vanquished and at the request of Aṣṭāvakra he merged into the sea after he had declared himself to be the son of Varuṇa and that he had caused the brahmans to be drowned in order that they might see the twelve years sattra of Varuṇa that was performed simultaneously with that of Janaka. They at once reappeared and Kahoda let Aṣṭāvakra bathe in the river Samaṅgā and all his limbs were immediately made straight and the Samaṅgā became a remover of sin. There fore you also should bathe there .
Parikṣit,son of,Abhimanyu,the th of the minor parvans Sauti related how the ascetic Jaratkāru upon a woman likewise named Jaratkāru being the sister of the Serpent king Vāsuki begot a son  destined to neutralize the curse inflicted on the Serpents by their mother  Origin of the Serpents and of Garuḍa and Aruṇa In order to explain the origin of Uccaiḥśravas Sauti related the churning of the Ocean and the consequent production of the Amṛta etc Kadrū and Vinatā made a bet as to the colour of the tail of Uccaiḥśravas and Vinatā  became the slave of Kadrū Kadrū cursed the Serpents her sons to be burnt at the Snake sacrifice of Janamejaya exploits of Garuḍa Aruṇa became the charioteer of the  Sun Garuḍa set out to bring the Amṛta to the Snakes who had promised that he and his mother should on this condition be freed from bondage Vibhāvasu and Supratīka and Garuḍas meeting with the Vālikhilyas omens foreboding fear  appeared among the gods owing to Indras having formerly been cursed by the Vālikhilyas Garuḍa snatched the Amṛta made friendship with Viṣṇu and Indra and placed the Amṛta before the Snakes who declared Vinatā to be free but Indra took it from them Enumeration of the principal Snakes. Śeṣa . Consultation of the Serpents under Vāsuki  it became known that Āstīka would be born and save the harmless serpents. Etymology of Jaratkāru. King Parikṣit the son of Abhimanyu was cursed and consequently struck to death by Takṣaka Kāśyapa was bribed to return without curing him. Janamejaya  succeeded his father Parikṣit. The story of Jaratkāru repeated  and some what enlarged. Jaratkāru  left his wife. Āstīka  was born and reared by Vāsuki. The ministers of Janamejaya told him about Parikṣit  The ministers of Janamejaya  learned what had happened between Takṣaka and Kāśyapa. Jana mejaya resolved to avenge his father and Utaṅka. Janamejaya  made preparations for a Snake sacrifice. b  Janamejayas Snake sacrifice  enumeration of the principal Snakes that fell into the fire of Vāsukis Takṣakas Airāvatas Kauravyas . and Dhrta rāṣṭras race . Sauti said This story have told as Pramati narrated it to Ruru after having heard what was said by the ḍuṇḍubha.
Bhīṣma,son of,Śāntanu,Bhīṣma      in like manner Bhīṣma the son of Śāntanu was born in the womb of Gaṅgā from the seed of the Vasus . b .  married Vidura to the daughter of king Devaka Pārasavīṃ kanyāṃ b b b a . b .                                                                                                         . b . Compare also the following synonyms Āpagāsuta . Āpageya q.v. Bhāgīrathīputra . Bhāgīrathīsuta . Bhārata q.v. Bharataśreṣṭha q.v. Bhāratāṇāṃ pitāmahaḥ q.v. Bharatarṣabha q.v. Bharatasattama q.v. Bhīṣmaka . Śāntanava . Śāntanoḥ putraḥ  = Bhīṣma . Śāntanoḥ sutaḥ = Bhīṣma . Śāntanūja = Bhīṣma .  Śāntanunandana = Bhīṣma . Śāntanusuta = Bhīṣma . Devavrata the original name of Bhīṣma . Gaṅgāsuta = Bhīṣma . Gāṅgeya = Bhīṣma . Jāhnavīputra  = Bhīṣma . Jāhnavisuta = Bhīṣma . Kaurava Kauravānāṃ dhurandharaḥ Kauravānāṃ pitāmahaḥ Kauravānām upaśrayaḥ v. Kaurava. Kauravādhama. Kauravanandana. Kauravya. Kuruśārdūla. Kuruśreṣṭha. Kurūdvaha. Kurukulaśreṣṭha. Kurukulādhama. Kurukulodvaha. Kurumukhya. Kurūṇām abhayaṃkaraḥ v. Kuru pl. Kurūṇāṃ śṛṅgaṃ v. Kuru pl. Kurūṇām ṛṣabhaḥ v. Kuru pl. Kurunandana. Kurupati. Kurupitāmaha.  Kurupravira. Kurupuṅgava. Kururājarṣisattama. Kurusattama. Kurūttama. Kuruvaṃśaketu. Kuruvaraśreṣṭha. Kuruvṛddha. . Mahāvrata Nadīja . Pitāmaha etc. Prapitāmaha . Sāgaragāsuta . Satyasandha . Tāladhvaja . Vasu q.v.
Śrutakarman,son of,Nakula,Caitraseni2 patron.  mahā rāja tava putram  avārayat   tau  pautrau tava etc i.e. the son of Citrasona  and Śrutakarman the son of Nakula.
Śakuniputra,son of,Śakuni,Śakuniputra the son of Śakuni king of the Gāndhāras .
Śiśupāla,son of,Damaghoṣa,Śiśupālavadhaparvan . As Yudhiṣṭhira was afraid that his sacrifice might be obstructed Bhīṣma consoled him saying that Kṛṣṇa was invincible . Śiśupāla again censured Bhīṣma and Kṛṣṇa and compared Bhīṣma to the old swan who always preached of virtue so that the other birds gave him food and kept their eggs with him but the old swan used to eat up their eggs till he was found out and slain . Śiśupāla censured Kṛṣṇas behaviour towards Jarāsandha Bhīma rushed up in anger but was restrained by Bhīṣma while Śiśupāla was boasting . Bhīṣma said Śiśupāla was born with three eyes and four hands and brayed like an ass his parents resolved to aban him but were prevented by an incorporeal voice who foreboded that that man in whose lap the child would be sitting when its superfluous arms would fall n and the third eye on its forehead disappear should be its slayer. Though the child was placed upon the laps of kings this came not to pass until Rāma and Kṛṣṇa went to the capital of the Cedis to see their fathers sister when the boy was placed on the lap of Kṛṣṇa then the arms fell n and the eye disappeared. Kṛṣṇa granted to Śiśupālas mother the boon that he would par offences of Śiśupālas . Bhīṣma declared that Kṛṣṇa himself had wanted to provoke the boast of Śiśupāla. Śiśupāla reproached Bhīṣma because he did not rather praise the other kings such as the Bālhika king Darada or Karṇa etc. he compared Bhīṣma to the bird Bhūliṅga . Bhīṣma expressed his contempt for such talk. The kings became angry and proposed to kill Bhīṣma who relied upon Kṛṣṇa . Śiśupāla challenged Kṛṣṇa being desirous to slay him with all the Pāṇḍavas. Kṛṣṇa related  how Śiśupāla hearing that the Sātvatas had gone to Prāgjyotiṣa came and burnt Dvārakā  that when king Bhoja was sporting on the Raivataka hill he fell upon his attendants and slew many of them and led many away in  chains to his own city  in order to obstruct the sacrifice of Kṛṣṇas father he stole the sacrificial horse that had been let loose under the guard of armed men  that he ravished the reluctant wife of Babhru on her way from Hāstinapura  to the Sauvīras  that disguising himself in the attire of the Kārūṣa king he had ravished Bhadrā Vaiśālī   that he had desired Rukmiṇī but failed to obtain her  that he  had promised to par him times and that the number had now become full. Kṛṣṇa then thought of his discus which came into his hand therewith he instantly cut off the head of Śiśupāla the kings beheld a fiery energy issuing out of the body of Śiśupāla and entering Kṛṣṇas body the sky though cloudless poured showers of rain etc. Yudhiṣṭhira caused his brothers to perform the funeral rites of Śiśupāla the son of Damaghoṣa then he with all the kings installed the son of Śiśupāla in the sovereignty of the Cedis v. Rājasūyikaparvan.
Kaca,son of,Bṛhaspati,Śukra1 the upādhyāya of the Asuras  and the planet Venus four sons   their purohita by his science Sañjivinī he revived the fallen Asuras in order to obtain this science Kaca the son of Bṛhaspati became the disciple of Ś and acquired it after having gratified Devayānī the daughter of Ś.           the following Ś. = Agni with the Daityas  to him  belong the jewels and the jewel mountains of which he gives a fourth part to Kubera      .  f Parṇānāma dharmavit Śukratvaṃ. b Umā then prevented Śiva from slaying Uśanas who therefore became her son  .  g . b . b .  Cf. also the following synonyms Bhārgava Bhārgavadāyāda q.v. Bhṛguśreṣṭha Bhṛgūdvaha Bhṛgukulo dvaha Bhṛgunandana Bhṛgusūnu q.v. Kaviputra . Kavisuta . Kāvya . Uśanas nayaiḥ .
patron,son of,Duḥśāsana,Dauḥśāsani patron the son of Duḥśāsana Dhārtarāṣṭra       .
Suparṇa,son of,Garuḍa,Diśācakṣu a Suparṇa the son of Garuḍa .
Suparṇa,son of,Garuḍa,Dīpaka a Suparṇa the son of Garuḍa .
Suparṇa,son of,Garuḍa,Divākara1 a Suparṇa the son of Garuḍa .
Diviratha1,son of,Bhumanyu,Diviratha1 the son of Bhumanyu .
Diviratha2,son of,Dadhivāhana,Diviratha2 the son of Dadhivāhana. b .
Bali,son of,Virocana,Dvaitavanapraveśa  . The Pāṇḍavas with Kṛṣṇa and Dhaumya on costly chariots yoked with excellent steeds went into the forest distributing niṣkas of gold etc to brahmans versed in Śikṣā akṣara and mantras and followed by twenty attendants with bows etc while Indrasena with the princesss  clothes and ornaments and the nurses and maidservants followed in a chariot. The citizens walked round Yudhiṣṭhira and the brahmans and principal men of Kurujāṅgala of all castes saluted him and blamed the Dhārtarāṣṭras etc. Arjuna told them that after their exile they would take away the good name of their enemies and asked them to beseech the ascetics for their good. At last they returned to their respective abodes . After a conference between Yudhiṣṭhira and Arjuna they resolved upon dwelling for these twelve years at the sacred lake Dvaitavana  in the forest of the same name on the banks of Bhogavatī surrounded by many brahmans and saluted  by hosts of Cāraṇas and Siddhas who came to see Yudhi ṣṭhira . While they were dwelling there Dhaumya performed their iṣṭis  and offerings to the Pitṛs etc. Once the old ṛṣi Mārkaṇḍeya came to them and smiled recollecting Rāma Dāśarathi whom he had seen on the top of the Ṛṣyamūka and comforted Yudhiṣṭhira by reminding him of the aforesaid Rāma Nābhāga Bhagīratha etc and Alarka the king of the Kāśis and the Karūṣas the seven ṛṣis who had followed the ordinance of the Creator and therefore blazed in the firmament so you will regain prosperity. Then he went away in a northerly direction . The Dvaitavana forest becoming filled with brahmans and always resounding with Vedic recitations mingling with the twangs of the bows of the Pāṇḍavas a beautiful union of brahman and kṣatriya customs was produced. Therefore one evening the ṛṣi Baka Dālbhya represented to Yudhiṣṭhira that the kṣatriya should always consult with a brahman as did the Asura king Bali the son of Virocana who went to no other tīrtha than the brahmans and then had all his wishes gratified but who met with destruction when he began to act unjustly towards them. Then all those brahmans Dvaipāyana Nārada Jāmadagnya etc praised Yudhiṣṭhira .
Kānyakubja,son of,Kuśika,Gādhi or Gādhin a king of Kānyakubja the son of Kuśika and the father of Viśvāmitra and Satyavatī    . n . b . b . c . Cf. Kauśika.
Garuḍa,son of,Kaśyapa,Garuḍa the son of Kaśyapa and Vinatā the vehicle of Viṣṇu or the emblem of his flagstaff  . b  In the meantime G. came out bursting the egg and ascended the skies. The gods thought that it was Agni but were undeceived .  Then the gods and the ṛṣis praised G. and prevailed upon him to diminish his own energy and splenr . Bearing his brother Aruṇa on his back G. went from his fathers home and arrived at his mothers side on the other shore of the ocean and placed Aruṇa in the east . b  G. carried the snakes on his back but ascended too near to the Sun so that the snakes became scorched by the rays of the Sun .  The serpents promised that if G. brought them the amṛta he and his mother should be freed from bondage . Having been directed by Vinatā to live upon the Niṣādas  but not to injure the brahmans and being taught by her how to know who is a brahman he set out and having come to the Niṣādas he raised a great quantity of dust and opened his mouth there the Niṣādas entered by thousands being blinded by the dust and were devoured . A brahman who with his wife of the Niṣāda caste entered the throat of G and began to burn him was recognized and relieved with his wife by G . As G.s hunger was not appeased Kaśyapa told him of the elephant Supratīka  and the tortoise Vibhāvasu . Then Kaśyapa blessed G . G. then seized the elephant and the tortoise and came to the tīrtha Alamba  . A banyan tree invited him to sit on one of its huge branches but the branch broke . G. caught the branch with his beak and perceiving Vālakhilyas suspended therefrom with their head nwards he continued to fly with the branch the elephant and the tortoise fearing to kill the Vālakhilyas if he should throw away the branch. The Vālakhilyas therefore gave him the name Garuḍa . On Gandhamādana he saw Kaśyapa engaged in ascetic devotions. Kaśyapa propitiated the Vālakhilyas  for him then they abaned the bough and went to Himavat to practise ascetic penances. According to the advice of Kaśyapa G. flew away for  a hundred thousand of yojanas to a mountain without human beings there he threw n the bough and ate the tortoise and the elephant. Then he again rose on his wings . Omens foreboding fear began to appear among the gods. Bṛhaspati declared that it was owing to the fault of Indra and the ascetic penances of the Vālakhilyas  that G. now approached to take away the soma. Indra then caused the gods to surround and watch the amṛta  .  G. attacked the gods whom he blinded with dust and Bhaumana lay as dead on the field. Indra caused Vāyu to dispel the dust. The Sādhyas and the Gandharvas fled eastwards the Vasus and the Rudras towards the south the Ādityas towards the west and the Aśvins towards the north. G. then slew nine Yakṣas Aśvakranda etc who guarded the amṛta. The amṛta on all sides was surrounded with fire. G. then divided his mouth into mouths and taking water from many rivers he extinguished the fire. Then he assumed a diminutive body and passed through the spokes of the revolving keen edged wheel of steel placed before the soma. Then there were two great snakes who would reduce to ashes everyone who might be seen by them. G. covered their eyes with dust and unseen by them mangled them to pieces. He then flew away with the amṛta not drinking it himself. He met with Viṣṇu on his way and they agreed that G. should stay above Viṣṇu sitting on the flagstaff of his chariot and be his vehicle and be immortal and free from disease without drinking amṛta. While G. was flying Indra hurled his thunderbolt at him. G. did not feel the slightest pain but in honour of Dadhīca and Indra and the thunderbolt G. dropped a feather and from its beauty he gained the name Suparṇa . Indra and G. made friendship with each other and agreed that G. should not give the soma to anyone for drink. Indra should bring it away after it had been put n by G and G. should feed on the snakes. The snakes declared Vinatā to be free G. placed n the soma on some kuśa grass and while the snakes were performing their ablutions their daily devotions and other religious rites Indra took up the amṛta and reṭurned to heaven. When the snakes licked the kuśa grass their tongues were divided in twain and the kuśa grass from the contact with the amṛta became sacred from this time . bis .              . u . c .  . Cf. Aruṇānuja Bhujagāri Garutmat Kāśyapeya Khagarāj Pakṣirāj Pakṣirāja Patagapati Patageśvara Suparṇa Tārkṣya Vainateya Vinatānanda vardhana Vinatāsūnu Vinatāsuta Vinatātmaja.
Gomukha2,son of,Mātali,Gomukha2 the son of Mātali .
Suparṇa,son of,Garuḍa,Gurubhāra a Suparṇa the son of Garuḍa .
monkey,son of,Vāyu,Hanumat or Hanūmat name of a monkey the son of Vāyu               . h . Cf. also the following synonyms Anilātmaja . Mārutātmaja . Pavanātmaja . Vāyuputra . Vāyutanaya .
Suparṇa,son of,Garuḍa,Hari3 a Suparṇa the son of Garuḍa .
Hari4,son of,Akampana,Hari4 the son of Akampana  . b .
Asura,son of,Tārakākṣa,Hari5 an Asura the son of Tārakākṣa .
Suparṇa,son of,Garuḍa,Hemavarṇa1 a Suparṇa the son of Garuḍa .
Hemavarṇa2,son of,Rocamāna,Hemavarṇa2 the son of Rocamāna .
Lakṣmaṇa,son of,Daśaratha,Ikṣvākunandana1  = Lakṣmaṇa the son of Daśaratha .
Rāma,son of,Daśaratha,Ikṣvākunandana2 = Rāma the son of Daśaratha .
Indrasena2,son of,Nala,Indrasena2 the son of Nala and Damayantī   .
Sahadeva,son of,Jarāsandha,. As Kṛṣṇa thought that Jarāsandha was incapable of being vanquished in battle even by all the gods and Asuras but might be vanquished in a personal struggle with bare arms and as there was in himself policy in Bhīma strength and in Arjuna ability to protect them he thought that Jarāsandha should be made to challenge Bhīma and Kṛṣṇa therefore obtained the permission of Yudhiṣṭhira that Bhīma and Arjuna followed him. They set out in the garb of snātakas with Bhīma in the van from the land of the Kurus to the Padmasaras over Kālakūṭa Gaṇḍakī Mahāśoṇa Sadānīrā the rivers on the Ekaparvataka  and Pūrvā  Kośalā Mithilā Mālā Carmaṇvatī Gaṅgā Śoṇa towards the east dressed in garments of kuśa grass to the Māgadha land. When they came to the mountain of Goratha they beheld the Māgadha town . Girivraja is  surrounded by the five large hills of Vaihāra Varāha Vṛṣabha Ṛṣigiri and Caityaka. It was there that Gautama begat Kākṣīvat etc upon the śūdra woman Auśīnarī and was visited by the kings of Aṅga Vaṅga etc. There dwell the Nāgas Arbuda Śakravāpin Svastika and Maṇināga. Manu had ordered the Māgadhas never to be afflicted with drought Kauśika and Maṇimat had favoured the country. The Pāṇḍavas and Kṛṣṇa entered the city by breaking n the peak of Caityaka worshipped by the Bārhadrathas and the citizens with perfumes and flower garlands where Bṛhadratha had slain the cannibal Ṛṣabha and made of his hide  three drums . As evil omens had been seen the purohitas made Jarāsandha mount an elephant and carried fire about him and he entered upon  a sacrifice with vows  and fasts . Kṛṣṇa Bhīma and Dhanañjaya entered the city without weapons in the guise of snātakas snatched from the flower vens the garlands they had exposed for sale and attired in robes of various colours and decked with garlands and ear rings they entered the abode of Jarāsandha who welcomed them and hearing from Kṛṣṇa that Bhīma and Arjuna in consequence of a vow would not speak before night quartered them in the sacrificial apartments  and retired to the palace . At midnight he came to them as he always observed the vow that as soon as he should hear of the arrival of snātakas even at midnight he would immediately come out and grant them an audience. As he questioned them about their strange attire which was unsuitable for snātakas and their breaking n the Caityaka peak and why they would not accept the worship he offered Kṛṣṇa gave him some explanations and declared that they had come as his foes . As Jarāsandha said that he did not remember to have injured them Kṛṣṇa told him that they were sent by Yudhiṣṭhira to set at liberty the princes whom Jarāsandha intended to slaughter as a sacrifice to Śiva because sacrificing human beings to the gods was never used  he reminded him of the destruction of Dambhodbhava Kārta vīrya Uttara and Bṛhadratha and challenged him to set free the monarchs or to fight. Jarāsandha chose to fight and ordered Sahadeva to be installed on the throne. Then he thought of his generals Kauśika and Citrasena who had formerly been Haṃsa and Ḍimbhaka. Kṛṣṇa remembering that according to the command of Brahmán Jarāsandha was not to be slain by him or by the Madhus did not himself desire to slay him . Jarāsandha having chosen to fight with Bhīma the purohita brought pigment garlands etc and propitiatory ceremonies  were performed by a brahman and likewise Bhīma having consulted with Kṛṣṇa had propitiatory ceremonies pronounced . When Jarāsandha had taken off his crown and arranged his hair they fought with their clenched fists as their only weapons. The combat began at the first day of the month Kārttika and lasted without intermission or food till the thirteenth on the fourteenth night Jarāsandha desisted from fatigue and Kṛṣṇa obscurely intimated that he should now be killed . At the instigation of Kṛṣṇa Bhīma threw Jarāsandha into the air a hundred times pressed his knee against his backbone and broke his body in two with  a terrible roar so that the citizens became dumb with terror and many women were prematurely delivered. Leaving the lifeless body at the palace gate they went out of the town riding on Jarāsandhas celestial chariot which Kṛṣṇa caused to be made ready it being aned with a celestial flagstaff and incapable of being vanquished by any king upon which Indra and Viṣṇu had fought in the battle about Tārakā riding upon which Indra had slain ninety nine  Dānavas which had been obtained by king Vasu from Vāsava from Vasu by Bṛhadratha and from him by Jarāsandha. And Kṛṣṇa thought of Garuḍa who sat upon the chariot along with the frightfully roaring creatures on its flagstaff. Kṛṣṇa then released his relatives and ordered them to assist Yudhiṣṭhira at his rājasūya. Stopping on a level plain outside the town he was aed by the citizens and he installed Sahadeva the son of Jarāsandha in the sovereignty of the Magadhas. Then they arrived at Indra prastha. Thereupon Kṛṣṇa having taken leave of Yudhi ṣṭhira etc set out for his own city riding upon that same celestial chariot that had been given to him by Yudhiṣṭhira the Pāṇḍavas having circumambulated him
brahman,son of,Bṛhaspati,Kaca a brahman the son of Bṛhaspati.  Janamejaya said How did Yayāti get Devayānī Vaiśampā yana related In the many battles between the gods and the Asuras the gods had for their purohita Bṛhaspati Āṅgirasa and the Asuras Uśanas Kāvya . As Uśanas by his science Sañjīvinī restored the fallen Dānavas to life and Bṛhaspati was unable to revive the fallen gods the gods prevailed upon Bṛhaspatis son Kaca to repair to Uśanas and conciliate him and his daughter Devayānī and learn the Sañjīvinī. K. then repaired to the capital of Vṛṣaparvan the king of the Dānavas and promising to practise brahma carya for years he was accepted by Uśanas as his  pupil. Young as he was he by singing and dancing and playing on instruments etc soon gratified Devayānī. After years the Dānavas having discovered who he was slew him and one time hacked his body to pieces and gave it to wolves and jackals another time they pounded it into paste and mixed it with the waters of the ocean but both times Devayānī prevailed upon Uśanas to restore K. to life by the Sañjīvinī summoning him and saying Come. Then slaying him for the third time they burned the body and mixed the ashes with the wine  which Uśanas drank. As Devayānī again asked her father to revive K Uśanas said It is of no use as he is always killed again thou art always worshipped by the Bráhman the brahmans the gods including Indra the Vasus the Aśvins the enemies of the gods and the whole world therefore not grieve for a mortal. As Devayānī said she would starve Śukra imparted the Sañjīvinī to K who though reduced to powder remembered everything. K. then came out ripping open the stomach of Śukra and then revived Śukra by the Sañjīvinī. Uśanas declared that henceforth that brahman who would drink wine should be reckoned to have committed the sin of slaying a brahman. K. stayed with Śukra for years . When K. was about to return to the gods Devayānī asked him to become her husband and as he refused  she cursed him saying that his science should bear no fruit. K. again cursed Devayānī saying that no ṛṣis son should take her hand and that his science should bear fruit if not to himself at least to him to whom he might impart it. Then he went to the abode of Indra and the gods declared that he should become a sharer with them in sacrificial offerings . Cf. Aṅgirasaḥ pautra Āṅgirasa Bṛhaspatisuta.
Rāma,son of,Daśaratha,Kākutstha2  = Rāma the son of Daśaratha .
Lakṣmaṇa,son of,Daśaratha,Kākutstha3 = Lakṣmaṇa the son of Daśaratha .
Manu,son of,Sūrya,.  Nakula  questioned Bhīṣma as to which  is really the  foremost of weapons and how the sword was first created and for what purpose and who was the first instructor in the use of that weapon. Bhīṣma related that in ancient times the universe was one vast expanse of water enveloped in darkness etc. There Pitāmaha  took his birth he then created wind fire etc and then assuming a visible form he begot Marīci etc.   Dakṣa . When Sarvaloka pitāmaha  had called into existence all creatures he promulgated the eternal religion laid n in the Vedas. That religion was accepted by the gods with their preceptors and priests and by Ā  R S M A Bhṛgu Atri Aṅgiras Si the Kāśyapas Vasiṣṭha etc.  all of them lived in obedience to Brahmán. But the foremost of the Dānavas Hiraṇyakaśipu etc and many other Daityas and Dānavas filled with wrath and covetousness took delight in all kinds of wicked acts etc wielding only the rod of chastisement those foremost of Asuras forsook every kindly intercourse with other creatures. Then Brahmán with the Brahmarṣis proceeded to a delightful summit of Himavat and after years he arranged a sacrifice. From the sacrificial fire arose Asi which Brahmán gave to Rudra  in order to enable him to put n irreligion. Rudra  with the sword destroyed and dispersed the Asuras  some of them penetrated into the bowels of the earth others got under the cover of the mountains some went upwards others entered the depths of the sea. Rudra then gave the sword to Viṣṇu Viṣṇu to Marīci Marīci to the maharṣis the maharṣis to Vāsava Mahendra  to the lokapālas the lokapālas to Manu  the son of Sūrya. He gave it to his son Kṣupa. Thence it passed successively to Ikṣvāku etc from Droṇa to Kṛpa from Kṛpa to thee  and thy brothers. Kṛttikāḥ is the nakṣatra of the sword Agni its deity Rohiṇī its gotra Rudra its high preceptor. Its eight mysterious names are Asi etc. . Of all weapons the sword is the foremost the Purāṇas truly declare that it was first wielded by Maheśvara . Pṛthu   created the first bow. Persons skilled in weapons should always worship the sword. Blessing to the reader .
Meghasandhi,son of,Sahadeva,Māgadha7 = Meghasandhi the son of Sahadeva .
vanquished,son of,Jarāsandha,Māgadha pl a people = Magadha pl       vanquished by Bhīmasena accompanied Bhīmasena when he vanquished the son of Jarāsandha in Girivraja               .
Kaśyapa,son of,Marīci,Manu7 Vaivasvata .  Kaśyapa the son of Marīci begat upon  the daughter of Dakṣa  the Ādityas  and Vivasvat . Vivasvat begat Manu  and Yama Vaivasvata. Manu begat sixty sons the names of ten were the following Vena Dhṛṣṇu Nariṣyat Nābhāga Ikṣvāku Kāruṣa Śaryāti Ilā Pṛṣadhra Nābhāgāriṣṭa the rest perished quarrelling with each other . f  When the Lokapālas gave the sword to M. the son of Sūrya they said Thou art the Lord of all men protect all creatures with this sword containing religion within its womb ...they should be punished essentially with wordy rebukes and with fines and forfeitures  loss of limbs  or death should only be inflicted for grave reasons . M. gave the sword to his son Kṣupa for the protection of the creatures . b . b . b . b . b . Cf. Ādityatanaya Sūryaputra Vaivasvata.
