head,relation,tail,text
citravarman1,son of,dhritaraashtra,"citravarman1, son of dhritaraashtra."
citravarman4,son of,sucitra,"citravarman4, son of sucitra."
citraayudha1,son of,dhritaraashtra,"citraayudha1, son of dhritaraashtra."
rishi,son of,bhrigu,"cyavana1, a rishi, son of bhrigu."
shashija,son of,the moon,"shashija, son of the moon = budha."
shaktri,son of,vasishtha,"shaktri, a rishi, son of vasishtha and father of paraashara."
shakuniputra,son of,shakuni,"shakuniputra, the son of shakuni, king of the gaandhaaras."
shakunta,son of,vishvaamitra,"shakunta, son of vishvaamitra."
shaakuntala,son of,shakuntalaa,"shaakuntala, son of shakuntalaa  = bharata."
shala2,son of,dhritaraashtra,"shala2, son of dhritaraashtra."
shala3,son of,somadatta,"shala3, son of somadatta and brother of bhuri and bhurishravas."
shala4,son of,king parikshit,"shala4, son of king parikshit of ayodhyaa and the daughter of the frog king."
shaalmali1,son of,avikshit,"shaalmali1, son of avikshit."
shaamba1,son of,jaambavati,"shaamba1, son of krishna and jaambavati."
shambhu7,son of,rukmini,"shambhu7, son of krishna and rukmini."
shankhapada,son of,manu,"shankhapada, son of manu svaarocisha."
shankukarna2,son of,janamejaya,"shankukarna2, son of janamejaya."
shaanta1,son of,the vasu ahas,"shaanta1, son of the vasu ahas."
shaantanu,son of,pratipa,"shaantanu, son of pratipa and father of bhishma, citraangada, and vicitravirya."
shaanti3,son of,angiras,"shaanti3, son of angiras."
sharabha5,son of,shishupaala,"sharabha5, son of shishupaala."
sharaasana,son of,dhritaraashtra,"sharaasana, son of dhritaraashtra."
sharyaati,son of,manu,"sharyaati, an ancient king, son of manu vaivasvata."
shataanika1,son of,nakula,"shataanika1, son of nakula paandava and draupadi."
shataayus1,son of,pururavas,"shataayus1, son of pururavas."
shatrughna1,son of,dasharatha,"shatrughna1, son of dasharatha."
shatrunjaya2,son of,dhritaraashtra,"shatrunjaya2, son of dhritaraashtra."
shatrunjaya5,son of,drupada,"shatrunjaya5, son of drupada."
shatrusaha,son of,dhritaraashtra,"shatrusaha, son of dhritaraashtra."
shauri1,son of,shura,"shauri1, son of shura = vasudeva."
shishupaala,son of,damaghosha,"shishupaala, king of the cedis, son of damaghosha."
shilaayupa,son of,vishvaamitra,"shilaayupa, a son of vishvaamitra."
shirshin,son of,vishvaamitra,"shirshin, a son of vishvaamitra."
shita,son of,vishvaamitra,"shita, a son of vishvaamitra."
shrimat1,son of,nimi,"shrimat1, son of nimi."
shrutakarman1,son of,sahadeva,"shrutakarman1, son of sahadeva and draupadi."
shrutakarman1,son of,draupadi,"shrutakarman1, son of sahadeva and draupadi."
shrutakarman2,son of,draupadi,"shrutakarman2, son of arjuna and draupadi."
shrutakarman3,son of,dhritaraashtra,"shrutakarman3, son of dhritaraashtra."
shrutaanta,son of,dhritaraashtra,"shrutaanta, son of dhritaraashtra."
shrutarvan2,son of,dhritaraashtra,"shrutarvan2, son of dhritaraashtra."
shrutasena3,son of,sahadeva,"shrutasena3, son of sahadeva and draupadi."
shrutasena3,son of,draupadi,"shrutasena3, son of sahadeva and draupadi."
shringin1,son of,shamika,"shringin1, son of shamika."
shuci8,son of,vicvaamitra,"shuci8, a son of vicvaamitra."
shuci1,son of,bhrigu,"shuci1, a son of bhrigu."
shuka1,son of,vyaasa,"shuka1, son of vyaasa."
shunashepha,son of,ricika,"shunashepha, son of ricika."
shura3,son of,ilina,"shura3, son of ilina."
muni,son of,uddaalaka,"shvetaketu1, a muni, son of uddaalaka."
shyaamaayana,son of,vishvaamitra,"shyaamaayana, son of vishvaamitra."
shyenajit1,son of,dala,"shyenajit1, son of dala."
dashajyotis,son of,subhraaj,"dashajyotis, son of subhraaj."
dala,son of,king parikshit,"dala, son of king parikshit of ayodhyaa, and sushobhanaa the daughter of the frog king."
dama1,son of,bhima,"dama1, son of bhima, the vidarbha king."
dandin1,son of,dhritaraashtra,"dandin1, son of dhritaraashtra."
daushaasani,son of,dushaasana,"daushaasani, patron the son of dushaasana dhaartaraashtra."
devaapi,son of,pratipa,"devaapi, son of pratipa."
muni,son of,vishvaamitra,"devaraata2, a muni, son of vishvaamitra."
dhanurdhara1,son of,dhritaraashtra,"dhanurdhara1, a son of dhritaraashtra."
dhanurgraha,son of,dhritaraashtra,"dhanurgraha, a son of dhritaraashtra  ʹ."
dhanurgraaha,son of,dhritaraashtra,"dhanurgraaha, a son of dhritaraashtra."
dhruva2,son of,nahusha,"dhruva2, son of nahusha."
dhrishnu1,son of,manu,"dhrishnu1, son of manu vaivasvata."
dhrishnu2,son of,kavi,"dhrishnu2, son of kavi."
dhrishtaketu2,son of,shishupaala,"dhrishtaketu2, king of the cedis, son of shishupaala."
dhritaraashtra1,son of,vyaasa,"dhritaraashtra1, son of vyaasa with ambikaa, the wi of vicitravirya."
dirghabaahu,son of,dhritaraashtra,"dirghabaahu, son of dhritaraashtra."
dirghalocana,son of,dhritaraashtra,"dirghalocana, son of dhritaraashtra."
dirgharoma,son of,dhritaraashtra,"dirgharoma, son of dhritaraashtra."
dirghaayus,son of,ashyutaayus,"dirghaayus, son of ashyutaayus."
diviratha1,son of,bhumanyu,"diviratha1, the son of bhumanyu."
diviratha2,son of,dadhivaahana,"diviratha2, the son of dadhivaahana."
divodaasa,son of,bhimasena,"divodaasa, king of the kaashis, son of bhimasena or sudeva."
divodaasa,son of,sudeva,"divodaasa, king of the kaashis, son of bhimasena or sudeva."
dravina,son of,the vasu dhara,"dravina, son of the vasu dhara."
drona,son of,bharadvaaja,"drona, the preceptor of the dhaartaraashtras and the paandavas, dhrishtadyumna, etc son of bharadvaaja, husband of kripi, and father of ashvatthaaman."
shaarngaka,son of,mandapaala,"drona2, a shaarngaka, a son of mandapaala and jaritaa."
shaarngaka,son of,jaritaa,"drona2, a shaarngaka, a son of mandapaala and jaritaa."
druhyu1,son of,yayaati,"druhyu1, son of yayaati and sharmishthaa."
druhyu1,son of,sharmishthaa,"druhyu1, son of yayaati and sharmishthaa."
druhyu2,son of,matinaara,"druhyu2, son of matinaara."
drupada,son of,prishata,"drupada, king of the paancaalas, son of prishata, father of dhrishtadyumna, shikhandin, draupadi, etc."
dridha1,son of,dhritaraashtra,"dridha1, son of dhritaraashtra."
dridhaashva,son of,kuvalaashva,"dridhaashva, son of kuvalaashva."
dridhahasta,son of,dhritaraashtra,"dridhahasta, a son of dhritaraashtra."
dridhakshatra,son of,dhritaraashtra,"dridhakshatra, a son of dhritaraashtra."
dridharatha1,son of,dhritaraashtra,"dridharatha1, a son of dhritaraashtra."
dridharathaashraya,son of,dhritaraashtra,"dridharathaashraya, a son of dhritaraashtra."
dridhasandha,son of,dhritaraashtra,"dridhasandha, a son of dhritaraashtra."
dridhasyu,son of,agastya,"dridhasyu, a rishi, son of agastya and lopaamudraa."
dridhasyu,son of,lopaamudraa,"dridhasyu, a rishi, son of agastya and lopaamudraa."
dridhavarman,son of,dhritaraashtra,"dridhavarman, a son of dhritaraashtra."
dridhaayu,son of,pururavas,"dridhaayu, son of pururavas and urvashi."
dridhaayu,son of,urvashi,"dridhaayu, son of pururavas and urvashi."
dridhaayudha,son of,dhritaraashtra,"dridhaayudha, a son of dhritaraashtra."
dushala,son of,dhritaraashtra,"dushala, a son of dhritaraashtra."
dushaasana,son of,dhritaraashtra,"dushaasana, a son of dhritaraashtra                                                                   ʹ, ʹ."
dusaha1,son of,dhritaraashtra,"dusaha1, son of dhritaraashtra."
duraadhana,son of,dhritariaashtra,"duraadhana, a son of dhritariaashtra."
duraadhara,son of,dhritaraashtra,"duraadhara, a son of dhritaraashtra."
durdhara1,son of,dhritaraashtra,"durdhara1, a son of dhritaraashtra."
durdharsha1,son of,dhritaraashtra,"durdharsha1, a son of dhritaraashtra."
durdharshana,son of,dhritaraashtra,"durdharshana, a son of dhritaraashtra."
durjaya2,son of,shaaradandaayani,"durjaya2, son of shaaradandaayani."
durjaya3,son of,dhritaraashtra,"durjaya3, son of dhritaraashtra."
durmada,son of,dhritaraashtra,"durmada, son of dhritaraashtra."
durmarshana1,son of,dhritaraashtra,"durmarshana1, son of dhritaraashtra."
durmukha1,son of,dhritaraashtra,"durmukha1, son of dhritaraashtra."
durvigaaha,son of,dhritaraashtra,"durvigaaha, a son of dhritaraashtra."
durvimocana,son of,dhritaraashtra,"durvimocana, a son of dhritaraashtra."
durvirocana,son of,dhritaraashtra,"durvirocana, a son of dhritaraashtra."
duryodhana1,son of,dhritaraashtra,"duryodhana1, the eldest son of dhritaraashtra and gaandhaari, and the enemy of the paandavas."
duryodhana1,son of,gaandhaari,"duryodhana1, the eldest son of dhritaraashtra and gaandhaari, and the enemy of the paandavas."
dushkarna,son of,dhritaraashtra,"dushkarna, a son of dhritaraashtra."
dushparaajaya,son of,dhritaraashtra,"dushparaajaya, a son of dhritaraashtra."
dushpradharsha,son of,dhritaraashtra,"dushpradharsha, a son of dhritaraashtra."
dushpradharshana,son of,dhritaraashtra,"dushpradharshana, a son of dhritaraashtra."
dushpraharsha,son of,dhritaraashtra,"dushpraharsha, a son of dhritaraashtra."
dushyanta2,son of,ajamidha,"dushyanta2, son of ajamidha."
kaanyakubja,son of,kushika,"gaadhi or gaadhin, a king of kaanyakubja, the son of kushika and the father of vishvaamitra and satyavati."
gaandhaararaajaputra,son of,shakuni,gaandhaararaajaputra = the son of shakuni.
gardabhi,son of,vishvaamitra,"gardabhi, a son of vishvaamitra."
gaya1,son of,amurtarayas,"gaya1, an ancient king, son of amurtarayas."
ghatotkaca,son of,hidimbaa,"ghatotkaca, a raakshasa, son of hidimbaa and bhimasena paandava                             g."
ghatotkaca,son of,bhimasena,"ghatotkaca, a raakshasa, son of hidimbaa and bhimasena paandava                             g."
ghatotkaca,son of,paandava,"ghatotkaca, a raakshasa, son of hidimbaa and bhimasena paandava                             g."
ghora2,son of,angiras,"ghora2, son of angiras."
suryadatta,son of,viraata,"his brothers, shataanika and madiraaksha, and the king himself, and suryadatta and shankha, the eldest son of viraata, put on their coats of mail."
gomukha2,son of,maatali,"gomukha2, the son of maatali."
gopati5,son of,shibi,"gopati5, a son of shibi."
haihaya1,son of,vatsa,"haihaya1, a son of vatsa."
hari4,son of,akampana,"hari4, the son of akampana."
hastin1,son of,the elder dhritaraashtra,"hastin1, a son of the elder dhritaraashtra."
hastin2,son of,suhotra,"hastin2, a son of suhotra."
havishravas,son of,the elder dhritaraashtra,"havishravas, a son of the elder dhritaraashtra."
hemavarna2,son of,rocamaana,"hemavarna2, the son of rocamaana."
hiranyaaksha2,son of,vishvaamitra,"hiranyaaksha2, a son of vishvaamitra."
ishvara7,son of,puru,"ishvara7, a son of puru."
lakshmana,son of,dasharatha,"ikshvaakunandana1  = lakshmana, the son of dasharatha."
raama,son of,dasharatha,"ikshvaakunandana2 = raama, the son of dasharatha."
hari,son of,akampanapratimavikramaafather,"hari, the son of akampanapratimavikramaafather of arjunasuryagunodayam, sc."
indraabha,son of,the elder dhritaraashtra,"indraabha, son of the elder dhritaraashtra."
indrajit,son of,raavana,"indrajit, a raakshasa, son of raavana."
raama,son of,shishupaala,"sanjaya commemorated how krishna, dhrishtadyumna, viraata, dhrishta ketu, and the kaikeyas had visited the paandavas in the kaamyaka wood, whose conversations sanjaya had learnt through spies and formerly told dhritaraashtra, sanjaya further related that krishna had consented to become the  charioteer of arjuna  and to assist the paandavas in the battle, together with raama, akrura, gada, shaamba, pradyumna, aahuka, dhrishtadyumna, and the son of shishupaala, and yuyu dhaana, and the kaikeya and paancaala princes and the matsya king, and krishna had declared that yudhishthira should, along with his brothers living at haastinapura, rule the earth."
raama,son of,yuyu,"sanjaya commemorated how krishna, dhrishtadyumna, viraata, dhrishta ketu, and the kaikeyas had visited the paandavas in the kaamyaka wood, whose conversations sanjaya had learnt through spies and formerly told dhritaraashtra, sanjaya further related that krishna had consented to become the  charioteer of arjuna  and to assist the paandavas in the battle, together with raama, akrura, gada, shaamba, pradyumna, aahuka, dhrishtadyumna, and the son of shishupaala, and yuyu dhaana, and the kaikeya and paancaala princes and the matsya king, and krishna had declared that yudhishthira should, along with his brothers living at haastinapura, rule the earth."
indrasena1,son of,the elder parikshit,"indrasena1, a son of the elder parikshit."
indrasena2,son of,nala,"indrasena2, the son of nala and damayanti."
indrasena2,son of,damayanti,"indrasena2, the son of nala and damayanti."
jaabaali,son of,vishvaamitra,"jaabaali, a rishi, son of vishvaamitra."
jaitra,son of,dhritaraashtra,"jaitra, a son of dhritaraashtra."
jaleyu,son of,raudraashva,"jaleyu, a son of raudraashva."
jamadagni,son of,ricika,"jamadagni, a rishi, the son of ricika and satyavati and the father of raama."
jamadagni,son of,satyavati,"jamadagni, a rishi, the son of ricika and satyavati and the father of raama."
jaambunada,son of,the elder janamejaya,"jaambunada, son of the elder janamejaya."
janamejaya1,son of,parikshit,"janamejaya1, son of parikshit and maadravati, and the husband of vapushtamaa at his snake sacrifice vaishampaayana recited the mhbhr."
janamejaya1,son of,maadravati,"janamejaya1, son of parikshit and maadravati, and the husband of vapushtamaa at his snake sacrifice vaishampaayana recited the mhbhr."
janamejaya5,son of,the elder parikshit,"janamejaya5, son of the elder parikshit."
janamejaya6,son of,puru,"janamejaya6, son of puru."
janghaari,son of,vishvaamitra,"janghaari, a son of vishvaamitra."
jantu,son of,king somaka,"jantu, son of king somaka."
jaraasandha1,son of,brihadratha,"jaraasandha1, king of the maagadhas, son of brihadratha."
sahadeva,son of,jaraasandha,"stopping on a level plain outside the town, he was aed by the citizens, and he installed sahadeva, the son of jaraasandha, in the sovereignty of the magadhas."
jaritaari,son of,mandapaala,"jaritaari, the eldest son of mandapaala and jaritaa."
jaritaari,son of,jaritaa,"jaritaari, the eldest son of mandapaala and jaritaa."
jaya1,son of,dhritaraashtra,"jaya1, a son of dhritaraashtra, or an adherent of duryodhana."
jayadratha1,son of,vriddhakshatra,"jayadratha1, king of the sindhus, son of vriddhakshatra."
jayanta1,son of,shaci,"jayanta1, son of indra and shaci."
jayasena2,son of,dhritaraashtra,"jayasena2, a son of dhritaraashtra."
maagadha,son of,jaraasandha,"jayatsena1, a maagadha king, the son of jaraasandha."
jayatsena2,son of,sarvabhauma,"jayatsena2, son of sarvabhauma and sunandaa kaikeyi."
jayatsena2,son of,sunandaa,"jayatsena2, son of sarvabhauma and sunandaa kaikeyi."
jayatsena4,son of,dhritaraashtra,"jayatsena4, a son of dhritaraashtra."
jitaari,son of,avikshit,"jitaari, son of avikshit and grandson of kuru."
jyotis1,son of,the vasu ahas,"jyotis1, son of the vasu ahas."
kaashin,son of,kavi,"kaashin, a son of kavi."
kaashyapa,son of,marici,"kaashyapa, a rishi and prajaapati, son of marici."
raama,son of,dasharatha,"kaakutstha2  = raama, the son of dasharatha."
lakshmana,son of,dasharatha,"kaakutstha3 = lakshmana, the son of dasharatha."
kaalapatha,son of,vishvaamitra,"kaalapatha, a son of vishvaamitra."
kaalikeya,son of,subala,"kaalikeya, a kuru warrior, son of subala."
kamsa,son of,ugrasena,"kamsa, son of ugrasena, king of mathuraa, enemy of krishna."
kanakadhvaja,son of,dhritaraashtra,"kanakadhvaja, a son of dhritaraashtra."
kanakaangada,son of,dhritaraashtra,"kanakaangada, a son of dhritaraashtra."
kanakaayu,son of,dhritaraashtra,"kanakaayu, a son of dhritaraashtra."
karakaayu,son of,dhritaraashtra,"karakaayu, a son of dhritaraashtra."
kaarishi,son of,vishvaamitra,"kaarishi, a son of vishvaamitra."
karmin,son of,shukra,"karmin, a son of shukra."
karna2,son of,dhritaraashtra,"karna2, son of dhritaraashtra."
kaarusha1,son of,manu,"kaarusha1, son of manu vaivasvata."
kavacin,son of,dhritaraashtra,"kavacin, a son of dhritaraashtra."
kavi4,son of,kavi,"kavi4, a son of kavi."
kaavya1,son of,kavi,"kaavya1, a son of kavi."
khaninetra,son of,vivimsha,"khaninetra, a king, son of vivimsha and father of suvarcas."
raakshasa,son of,vishravas,"khara, a raakshasa, son of vishravas."
kraatha1,son of,the elder dhritaraashtra,"kraatha1, son of the elder dhritaraashtra."
kraatha4,son of,dhritaraashtra,"kraatha4, son of dhritaraashtra."
krathana3,son of,dhritaraashtra,"krathana3, son of dhritaraashtra."
rishi,son of,brahmaan,"kratu1, a rishi, son of brahmaan."
krisha1,son of,a rishi,"krisha1, a son of a rishi."
krikaneyu,son of,raudraashva,"krikaneyu, son of raudraashva."
kripa,son of,sharadvat,"kripa, a brahman, son of sharadvat and brother of kripi."
krishna1,son of,vasudeva,"krishna1, son of vasudeva and devaki, husband of rukmini, etc and father of pradyumna, shaamba, etc a prince of the daashaarhas, considered as an avataara of vishnu, the supreme god."
krishna1,son of,devaki,"krishna1, son of vasudeva and devaki, husband of rukmini, etc and father of pradyumna, shaamba, etc a prince of the daashaarhas, considered as an avataara of vishnu, the supreme god."
kritavarman,son of,hridika,"kritavarman, a vrishni prince, son of hridika                                           ʹ, ʹ, naaraayanaavasheshai, sc."
kshatradeva,son of,shikhandin,"kshatradeva, son of shikhandin."
kshatradharman,son of,dhrishtadyumna,"kshatradharman, son of dhrishtadyumna."
kshemamurti,son of,dhritaraashtra,"kshemamurti, a son of dhritaraashtra."
kushaamba,son of,vasu,"kushaamba, son of vasu uparicara."
kukshi2,son of,raibhya,"kukshi2, b, dishaam paalaaya, son of raibhya."
kunda1,son of,dhritaraashtra,"kunda1, a son of dhritaraashtra."
kundabheda,son of,dhritaraashtra,"kundabheda, a son of dhritaraashtra."
kundabhedin,son of,dhritaraashtra,"kundabhedin, a son of dhritaraashtra."
kundashaayin,son of,dhritaraashtra,"kundashaayin, a son of dhritaraashtra."
kundaashin,son of,dhritaraashtra,"kundaashin, a son of dhritaraashtra."
kundaja,son of,dhritaraashtra,"kundaja, a son of dhritaraashtra."
kundaka,son of,dhritaraashtra,"kundaka, a son of dhritaraashtra."
kundalin2,son of,dhritaraashtra,"kundalin2, a son of dhritaraashtra."
kundika,son of,dhritaraashtra,"kundika, son of dhritaraashtra."
kundina1,son of,dhritaraashtra,"kundina1, son of dhritaraashtra."
kundodara2,son of,dhritaraashtra,"kundodara2, a son of dhritaraashtra."
kundodara3,son of,janamejaya,"kundodara3, son of janamejaya."
kuntibhoja,son of,his paternal aunt,"shura  gave his daughter prithaa as daughter to kuntibhoja, the son of his paternal aunt, who was without offspring."
kurcaamukha,son of,vishvaamitra,"kurcaamukha, a son of vishvaamitra."
lakshmana1,son of,dasharatha,"lakshmana1, son of dasharatha and sumitraa and brother of raama."
lakshmana1,son of,sumitraa,"lakshmana1, son of dasharatha and sumitraa and brother of raama."
lakshmana2,son of,duryodhana,"lakshmana2, son of duryodhana dhaartaraashtra."
lilaadhya,son of,vishvaamitra,"lilaadhya, a son of vishvaamitra."
jayatsena,son of,jaraasandha,"maagadha6 = jayatsena, son of jaraasandha."
meghasandhi,son of,sahadeva,"maagadha7 = meghasandhi, the son of sahadeva."
sahadeva,son of,jaraasandha,"maagadha8 = sahadeva, son of jaraasandha."
maanada1,son of,dhrishtadyumna,"maanada1, son of dhrishtadyumna."
mandaara,son of,hiranyakashipu,"mandaara, son of hiranyakashipu."
maandhaatri,son of,yuvanaashva,"maandhaatri, an ancient king, son of yuvanaashva."
manojava1,son of,the vasu,"manojava1, son of the vasu anila and shivaa."
kashyapa,son of,marici,"kashyapa, the son of marici, begat upon  the daughter of daksha  the aadityas  and vivasvat."
maargamarshi,son of,vishvaamitra,"maargamarshi, a son of vishvaamitra."
rishi,son of,brahmaan,"marici1, a rishi, son of brahmaan and father of kashyapa."
maarutantavya,son of,vishvaamitra,"maarutantavya, a son of vishvaamitra."
avikshit,son of,avikshit,"marutta, an ancient king, son of avikshit bis         m the son of avikshit, in order to compete with brihaspati, caused samvarta  to officiate at his sacrifice."
aaryaka,son of,vaamana,"maatali wished to get for his son in law the naaga sumukha of airaavatas race, the son of cikura, and the grandson of aaryaka kauravya and the daughters son of vaamana."
matsya1,son of,vasu,"matsya1, a king, son of vasu uparicara."
medhaavin1,son of,baaladhi,"medhaavin1, son of baaladhi."
raajagriha,son of,sahadeva,"meghasandhi2, king  in raajagriha, son of sahadeva."
muni1,son of,ahar,"muni1, son of ahar."
mushala,son of,vishvaamitra,"mushala, son of vishvaamitra."
naabhaagaarishta,son of,manu,"naabhaagaarishta, son of manu vaivasvata."
naacika,son of,vishvaamitra,"naacika, a son of vishvaamitra."
naaciketa,son of,uddaalaki,"naaciketa, a rishi, son of uddaalaki."
naadijangha,son of,kashyapa,"naadijangha, a crane, son of kashyapa."
naagadatta,son of,dhritaraashtra,"naagadatta, a son of dhritaraashtra."
naikadrish,son of,vishvaamitra,"naikadrish, son of vishvaamitra."
nala1,son of,virasena,"nala1, king of the nishadhas, son of virasena, and husband of damayanti."
nalakubara,son of,kubera,"nalakubara, a son of kubera."
nanda1,son of,dhritaraashtra,"nanda1, a son of dhritaraashtra."
nandaka1,son of,dhritaraashtra,"nandaka1, a son of dhritaraashtra."
devarshi,son of,parameshthin,"naarada1, a devarshi, son of parameshthin, often mentioned together with gandharvas and therefore presumably himself a gandharva."
naarada3,son of,vishvaamitra,"naarada3, a son of vishvaamitra."
naaradin,son of,vishvaamitra,"naaradin, a son of vishvaamitra."
narishyanta,son of,manu,"narishyanta or narishyat, son of manu vaivasvata."
navatantu,son of,vishvaamitra,"navatantu, son of vishvaamitra."
nimi2,son of,dattaatreya,"nimi2, son of dattaatreya and father of shrimat."
niramitra1,son of,nakula,"niramitra1, son of nakula."
nishadha1,son of,the elder janamejaya,"nishadha1, son of the elder janamejaya."
nishangin,son of,dhritaraashtra,"nishangin, a son of dhritaraashtra."
ogharatha,son of,oghavat,"ogharatha, son of oghavat."
paashin,son of,dhritaraashtra,"paashin, a son of dhritaraashtra."
padaati,son of,the elder janamejaya,"padaati, son of the elder janamejaya."
pandita1,son of,dhritaraashtra,"pandita1, a son of dhritaraashtra."
panditaka,son of,dhritaraashtra,"panditaka, a son of dhritaraashtra = pandita."
paandu,son of,vyaasa,"paandu, son of vyaasa by ambaalikaa, the wi of vicitravirya husband of kunti and maadri and father of the five paandavas."
paandu2,son of,the elder janamejaya,"paandu2, son of the elder janamejaya."
rishi,son of,adrishyanti,"paraashara1, a rishi, son of shakti and adrishyanti, and father of vyaasa."
parameshthin5,son of,ajamidha,"parameshthin5, son of ajamidha."
paraavasu,son of,raibhya,"paraavasu, a brahman, son of raibhya and brother of arvaavasu."
parikshit,son of,abhimanyu,"parikshit or parikshit, son of abhimanyu and uttaraa, and father of janamejaya."
parikshit,son of,uttaraa,"parikshit or parikshit, son of abhimanyu and uttaraa, and father of janamejaya."
parikshit2,son of,avikshit,"parikshit2 or parikshit, son of avikshit."
parikshit,son of,anashvan,"parikshit, son of anashvan."
parvata1,son of,naaradas sister,"parvata1, a devarshi, son of naaradas sister, often mentioned together with gandharvas."
janamejaya,son of,parikshit,"when janamejaya, the son of parikshit, with his brothers shrutasena, ugrasena, and bhimasena was attending his long sacrifice at kurukshetra, his brothers beat an offspring of saramaa."
payasya,son of,angiras,"payasya, son of angiras."
pradyumna,son of,rukmini,"pradyumna, son of krishna and rukmini."
virocana,son of,the king of the daityas,"virocana, the son of the king of the daityas p for the sake of obtaining a bride, quarrelled with sudhanvan aangirasa, and they mutually wagered their lives as to who was superior, and made p."
pramatha,son of,dhritaraashtra,"pramatha, a son of dhritaraashtra."
pramaathin1,son of,dhritarashtra,"pramaathin1, a son of dhritarashtra."
prasandhi,son of,manu,"prasandhi, son of manu."
prasena,son of,karna,"prasena, son of karna ʹ."
pratardana1,son of,divodaasa,"pratardana1, king of the kaashis, son of divodaasa."
prativindhya1,son of,yudhishthira,"prativindhya1, son of yudhishthira and draupadi."
prativindhya1,son of,draupadi,"prativindhya1, son of yudhishthira and draupadi."
pratyagraha,son of,vasu,"pratyagraha, son of vasu uparicara."
pravasu,son of,ilina,"pravasu, son of ilina."
pravira,son of,puru,"pravira, son of puru."
puru1,son of,yayaati,"puru1, an ancient king, son of yayaati."
purukutsa,son of,maandhaatri,"purukutsa, an ancient king, son of maandhaatri."
purumitra,son of,dhritaraashtra,"purumitra, a son of dhritaraashtra."
pururavas,son of,ilaa,"pururavas, an ancient king, son of ilaa, and husband of urvashi."
rishi,son of,kaakshivat,"as he was childless he repaired to the rishi canda kaushika, the son of kaakshivat gautama, who was sitting under a mango tree."
raama1,son of,jamadagni,"raama1, son of jamadagni and renukaa, otherwise called parashu raama, which name, however, s not occur in the text of the mhbhr."
raama1,son of,renukaa,"raama1, son of jamadagni and renukaa, otherwise called parashu raama, which name, however, s not occur in the text of the mhbhr."
raama2,son of,dasharatha,"raama2 daasharathi, king of ayodhyaa, son of dasharatha and husband of sitaa bis."
rantideva,son of,sankriti,"rantideva, an ancient king, son of sankriti."
raudra4,son of,shukra,"raudra4, son of shukra."
raudrakarman,son of,dhritaraashtra,"raudrakarman, a son of dhritaraashtra."
raavana,son of,vishravas,"raavana, king of the raakshasas on lankaa, son of vishravas."
ravi3,son of,dhritaraashtra,"ravi3, a son of dhritaraashtra."
ruci1,son of,vishvaamitra,"ruci1, a son of vishvaamitra."
rukmaratha1,son of,shalya,"rukmaratha1, son of shalya."
rukmin,son of,bhishmaka,"rukmin, king of bhojakata, son of bhishmaka, and brother of rukmini."
rumanvat,son of,jamadagni,"rumanvat, son of jamadagni."
rupina,son of,ajamidha,"rupina, son of ajamidha and keshini."
rupina,son of,keshini,"rupina, son of ajamidha and keshini."
ricika3,son of,bhumanyu,"ricika3, son of bhumanyu."
ricikanandana,son of,ricika,"ricikanandana, son of ricika = raama jaama dagnya."
riksha1,son of,ajamidha,"riksha1, a prince, son of ajamidha."
rishyashringa,son of,vibhaandaka,"rishyashringa, a muni, son of vibhaandaka."
sada,son of,dhritaraashtra,"sada, a son of dhritaraashtra."
saha1,son of,dhritaraashtra,"saha1, a son of dhritaraashtra   ʹ."
ceeded,son of,jambhaka,"pro ceeded against the south and vanquished the shurasenas, etc then the son of jambhaka, etc then bhishmaka, etc."
sahadeva2,son of,jaraasandha,"sahadeva2, king of the magadhas, son of jaraasandha."
sahasravaac,son of,dhritaraashtra,"sahasravaac, a son of dhritaraashtra."
saindhavaayana,son of,vishvaamitra,"saindhavaayana, a son of vishvaamitra."
saalanghaayana,son of,vishvaamitra,"saalanghaayana, a son of vishvaamitra."
sama1,son of,dhritaraashtra,"sama1, a son of dhritaraashtra."
samhanana,son of,manasyu,"samhanana, son of manasyu."
samvarana,son of,riksha,"samvarana, a king, son of riksha, husband of tapati, and father of kuru."
brahmarshi,son of,angiras,"samvarta1, a brahmarshi, son of angiras."
samyaati1,son of,nahusha,"samyaati1, son of nahusha."
sanaka,son of,brahmaan,"sanaka, a mind born son of brahmaan."
sanandana,son of,brahmaan,"sanandana, a mind born son of brahmaan."
sanaatana2,son of,brahmaan,"sanaatana2, a mind born son of brahmaan."
rishi,son of,brahmaan,"sanatkumaara, a rishi, son of brahmaan."
sanjaya1,son of,gavalgana,"sanjaya1, a suta, son of gavalgana."
sannateyu,son of,raudraashva,"sannateyu, son of raudraashva."
saarana,son of,vasudeva,"saarana, a vrishni, son of vasudeva."
saarasvata,son of,dadhica,"saarasvata, a rishi, son of dadhica and sarasvati."
rishi,son of,atri,"saarasvata2, a rishi, son of atri."
shaarngaka,son of,mandapaala,"saarisrikka  or saarisrikva, a shaarngaka, son of mandapaala."
sattva,son of,dhritaraashtra,"sattva, a son of dhritaraashtra."
satyajit,son of,drupada,"satyajit, a paancaala, son of drupada."
satyaka,son of,shini,"satyaka, a vrishni, son of shini and father of saatyaki."
vrishni,son of,satyaka,"saatyaki, a vrishni, properly named yuyudhaana, son of satyaka and grandson of shini."
satyasandha1,son of,dhritaraashtra,"satyasandha1, son of dhritaraashtra."
satyasandha4,son of,karna,"satyasandha4, son of karna."
satyasena2,son of,karna,"satyasena2, a son of karna."
